Date,Open,High,Low,Close,Adj Close,Volume
7/1/2013,24.969999,25.059999,24.620001,24.809999,24.809999,20582200
7/2/2013,24.700001,24.77,24.299999,24.41,24.41,18394100
7/3/2013,24.219999,24.709999,24.15,24.52,24.52,10404400
7/5/2013,24.65,24.66,24.200001,24.370001,24.370001,20229500
7/8/2013,24.469999,25.040001,24.42,24.709999,24.709999,27064600
7/9/2013,25.07,25.49,25.030001,25.48,25.48,30387900
7/10/2013,25.58,25.83,25.469999,25.799999,25.799999,26721800
7/11/2013,25.959999,26,25.450001,25.809999,25.809999,26777400
7/12/2013,25.74,25.93,25.549999,25.91,25.91,16537900
7/15/2013,25.93,26.43,25.65,26.280001,26.280001,24234000
7/16/2013,26.389999,26.75,26.01,26.32,26.32,30817600
7/17/2013,26.370001,26.780001,26.299999,26.65,26.65,21518500
7/18/2013,26.75,26.77,26.120001,26.18,26.18,24806900
7/19/2013,25.82,26.110001,25.6,25.879999,25.879999,46539700
7/22/2013,25.99,26.129999,25.719999,26.049999,26.049999,27526300
7/23/2013,26.1,26.299999,25.969999,26.129999,26.129999,28221600
7/24/2013,26.32,26.530001,26.049999,26.51,26.51,82635600
7/25/2013,33.540001,34.880001,32.75,34.360001,34.360001,365457900
7/26/2013,33.77,34.73,33.560001,34.009998,34.009998,136028900
7/29/2013,34.07,35.630001,34.009998,35.43,35.43,124718800
7/30/2013,35.650002,37.959999,35.32,37.630001,37.630001,173582800
7/31/2013,37.959999,38.310001,36.330002,36.799999,36.799999,154828700
8/1/2013,37.299999,38.290001,36.919998,37.490002,37.490002,106066500
8/2/2013,37.66,38.490002,37.5,38.049999,38.049999,73058500
8/5/2013,38.43,39.32,38.25,39.189999,39.189999,79994800
8/6/2013,39.110001,39.25,37.939999,38.549999,38.549999,63950800
8/7/2013,38.610001,38.939999,37.700001,38.869999,38.869999,68854800
8/8/2013,39.130001,39.189999,38.43,38.540001,38.540001,41301000
8/9/2013,38.59,38.740002,38.009998,38.5,38.5,43532300
8/12/2013,38.200001,38.5,38.099998,38.220001,38.220001,31161000
8/13/2013,38.240002,38.32,36.77,37.02,37.02,65379200
8/14/2013,36.830002,37.549999,36.619999,36.650002,36.650002,48423900
8/15/2013,36.360001,37.07,36.02,36.560001,36.560001,56521100
8/16/2013,36.970001,37.490002,36.900002,37.080002,37.080002,45840800
8/19/2013,37.43,38.279999,37.139999,37.810001,37.810001,57609600
8/20/2013,38.349998,38.580002,37.689999,38.41,38.41,57995200
8/21/2013,38.380001,38.849998,38.150002,38.32,38.32,46116900
8/22/2013,38.369999,38.75,38.34,38.549999,38.549999,21931200
8/23/2013,39,40.630001,38.93,40.549999,40.549999,86442300
8/26/2013,40.900002,41.939999,40.619999,41.34,41.34,94162400
8/27/2013,40.68,41.200001,39.419998,39.639999,39.639999,72695100
8/28/2013,39.959999,40.849998,39.880001,40.549999,40.549999,57918200
8/29/2013,40.889999,41.779999,40.799999,41.279999,41.279999,58303400
8/30/2013,42.02,42.259998,41.060001,41.290001,41.290001,67735100
9/3/2013,41.84,42.16,41.509998,41.869999,41.869999,48774900
9/4/2013,42.009998,42.169998,41.439999,41.779999,41.779999,42581900
9/5/2013,41.790001,42.77,41.77,42.66,42.66,50035400
9/6/2013,43.09,44.610001,42.400002,43.950001,43.950001,117535700
9/9/2013,44.360001,44.790001,43.700001,44.040001,44.040001,75794700
9/10/2013,44.240002,44.259998,43.23,43.599998,43.599998,54540300
9/11/2013,43.389999,45.09,43.110001,45.040001,45.040001,72328300
9/12/2013,45.529999,45.619999,44.650002,44.75,44.75,68072300
9/13/2013,45.040001,45.080002,43.93,44.310001,44.310001,52765300
9/16/2013,44.849998,44.939999,42.43,42.509998,42.509998,70424200
9/17/2013,42.5,45.439999,42.43,45.07,45.07,91934600
9/18/2013,44.84,45.470001,44.400002,45.23,45.23,79317000
9/19/2013,45.509998,46.049999,45.23,45.98,45.98,63972400
9/20/2013,46.32,47.599998,45.740002,47.490002,47.490002,115508400
9/23/2013,47.279999,47.549999,46.290001,47.189999,47.189999,75177000
9/24/2013,48.509998,49.66,48.16,48.450001,48.450001,136716100
